"Table","Entity","Property","Column","Decorator","Type","Nullable","File"
"ew_positions","EwPosition","updatedAt","updated_at","UpdateDateColumn","","","backend\src\ew\ew-position.entity.ts"
"fire_missions","FireMission","acceptedAt","accepted_at","Column","timestamp","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","actualChargeQuantity","actual_charge_quantity","Column","numeric","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","actualFuzeQuantity","actual_fuze_quantity","Column","int","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","actualPrimerQuantity","actual_primer_quantity","Column","int","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","actualShellQuantity","actual_shell_quantity","Column","int","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","authorUnitId","author_unit_id","Column","uuid","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","authorUserId","author_user_id","Column","uuid","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","chargeId","charge_id","Column","uuid","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","chargeQuantity","charge_quantity","Column","numeric","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","closedAt","closed_at","Column","timestamp","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","completedAt","completed_at","Column","timestamp","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","completionComment","completion_comment","Column","text","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","createdAt","created_at","CreateDateColumn","","","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","executingUnitId","executing_unit_id","Column","uuid","true","backend\src\fire-missions\fire-mission.entity.ts"
"fire_missions","FireMission","finalEditUntil","final_edit_until","Column","timestamp","true","backend\src\fire-missions\fire-mission.entity.ts"
